cat_a,cat_b,alpha,beta,vector,top_cluster_id,top_cluster_name,top_cos,null_p95
b1,b11,-2.0,-2.0,resid,2,uncertainty / indecision,0.08237990736961365,0.040912676602602005
b1,b11,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.2608432471752167,0.041279226541519165
b1,b11,-2.0,-2.0,full,3,romantic idealism,0.08900142461061478,0.05297365039587021
b1,b11,-2.0,2.0,resid,4,academic ambition / competitive determination,0.09256389737129211,0.04842482879757881
b1,b11,-2.0,2.0,marg,2,uncertainty / indecision,0.23673075437545776,0.040912676602602005
b1,b11,-2.0,2.0,full,3,romantic idealism,-0.01941867731511593,0.05297365039587021
b1,b11,2.0,-2.0,resid,2,uncertainty / indecision,0.05620274692773819,0.040912676602602005
b1,b11,2.0,-2.0,marg,6,enthusiasm / curiosity,0.3055940866470337,0.041279226541519165
b1,b11,2.0,-2.0,full,6,enthusiasm / curiosity,0.03326129540801048,0.041279226541519165
b1,b11,2.0,2.0,resid,4,academic ambition / competitive determination,0.13519400358200073,0.04842482879757881
b1,b11,2.0,2.0,marg,6,enthusiasm / curiosity,0.2850304841995239,0.041279226541519165
b1,b11,2.0,2.0,full,6,enthusiasm / curiosity,0.11579430103302002,0.041279226541519165
b1,b13,-2.0,-2.0,resid,2,uncertainty / indecision,0.07531376928091049,0.040912676602602005
b1,b13,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.2954474687576294,0.041279226541519165
b1,b13,-2.0,-2.0,full,1,frustration / despair,0.10348062217235565,0.04994594305753708
b1,b13,-2.0,2.0,resid,4,academic ambition / competitive determination,0.09161114692687988,0.04842482879757881
b1,b13,-2.0,2.0,marg,6,enthusiasm / curiosity,0.31696078181266785,0.041279226541519165
b1,b13,-2.0,2.0,full,1,frustration / despair,0.1300012171268463,0.04994594305753708
b1,b13,2.0,-2.0,resid,2,uncertainty / indecision,0.03082747757434845,0.040912676602602005
b1,b13,2.0,-2.0,marg,6,enthusiasm / curiosity,0.34657180309295654,0.041279226541519165
b1,b13,2.0,-2.0,full,6,enthusiasm / curiosity,0.06103367358446121,0.041279226541519165
b1,b13,2.0,2.0,resid,4,academic ambition / competitive determination,0.0979037880897522,0.04842482879757881
b1,b13,2.0,2.0,marg,6,enthusiasm / curiosity,0.35808974504470825,0.041279226541519165
b1,b13,2.0,2.0,full,6,enthusiasm / curiosity,0.17953868210315704,0.041279226541519165
b11,b13,-2.0,-2.0,resid,0,self-doubt / encouragement,0.06815114617347717,0.04447821527719498
b11,b13,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.2826542258262634,0.041279226541519165
b11,b13,-2.0,-2.0,full,6,enthusiasm / curiosity,0.02688891813158989,0.041279226541519165
b11,b13,-2.0,2.0,resid,0,self-doubt / encouragement,0.16561321914196014,0.04447821527719498
b11,b13,-2.0,2.0,marg,6,enthusiasm / curiosity,0.3067167103290558,0.041279226541519165
b11,b13,-2.0,2.0,full,6,enthusiasm / curiosity,0.17582076787948608,0.041279226541519165
b11,b13,2.0,-2.0,resid,4,academic ambition / competitive determination,0.055199429392814636,0.04842482879757881
b11,b13,2.0,-2.0,marg,2,uncertainty / indecision,0.27683189511299133,0.040912676602602005
b11,b13,2.0,-2.0,full,5,ironic amusement,0.014660500921308994,0.04776734113693237
b11,b13,2.0,2.0,resid,4,academic ambition / competitive determination,0.05966292321681976,0.04842482879757881
b11,b13,2.0,2.0,marg,6,enthusiasm / curiosity,0.30061066150665283,0.041279226541519165
b11,b13,2.0,2.0,full,1,frustration / despair,0.055566124618053436,0.04994594305753708
b8,b4,-2.0,-2.0,resid,2,uncertainty / indecision,0.14120444655418396,0.040912676602602005
b8,b4,-2.0,-2.0,marg,2,uncertainty / indecision,0.2654613256454468,0.040912676602602005
