cat_a,cat_b,alpha,beta,prompt_id,cluster_id,cluster_name,cos
b1,b11,-2.0,-2.0,0,0,self-doubt / encouragement,0.20792222023010254
b1,b11,-2.0,-2.0,0,1,frustration / despair,0.08682265877723694
b1,b11,-2.0,-2.0,0,2,uncertainty / indecision,0.09953367710113525
b1,b11,-2.0,-2.0,0,3,romantic idealism,0.12635177373886108
b1,b11,-2.0,-2.0,0,4,academic ambition / competitive determination,0.08283296227455139
b1,b11,-2.0,-2.0,0,5,ironic amusement,0.07860557734966278
b1,b11,-2.0,-2.0,0,6,enthusiasm / curiosity,0.18747635185718536
b1,b11,-2.0,-2.0,1,0,self-doubt / encouragement,0.06049467250704765
b1,b11,-2.0,-2.0,1,1,frustration / despair,0.10510029643774033
b1,b11,-2.0,-2.0,1,2,uncertainty / indecision,0.10948975384235382
b1,b11,-2.0,-2.0,1,3,romantic idealism,-0.009621387347579002
b1,b11,-2.0,-2.0,1,4,academic ambition / competitive determination,0.06488732993602753
b1,b11,-2.0,-2.0,1,5,ironic amusement,0.07415052503347397
b1,b11,-2.0,-2.0,1,6,enthusiasm / curiosity,0.07695217430591583
b1,b11,-2.0,-2.0,2,0,self-doubt / encouragement,0.13909912109375
b1,b11,-2.0,-2.0,2,1,frustration / despair,0.08191703259944916
b1,b11,-2.0,-2.0,2,2,uncertainty / indecision,0.1213405430316925
b1,b11,-2.0,-2.0,2,3,romantic idealism,0.05182398483157158
b1,b11,-2.0,-2.0,2,4,academic ambition / competitive determination,0.049215320497751236
b1,b11,-2.0,-2.0,2,5,ironic amusement,0.06679056584835052
b1,b11,-2.0,-2.0,2,6,enthusiasm / curiosity,0.08408065885305405
b1,b11,-2.0,-2.0,3,0,self-doubt / encouragement,0.1006508320569992
b1,b11,-2.0,-2.0,3,1,frustration / despair,0.08389011770486832
b1,b11,-2.0,-2.0,3,2,uncertainty / indecision,0.11973172426223755
b1,b11,-2.0,-2.0,3,3,romantic idealism,0.02332017384469509
b1,b11,-2.0,-2.0,3,4,academic ambition / competitive determination,0.08344701677560806
b1,b11,-2.0,-2.0,3,5,ironic amusement,0.10630645602941513
b1,b11,-2.0,-2.0,3,6,enthusiasm / curiosity,0.1258384734392166
b1,b11,-2.0,-2.0,4,0,self-doubt / encouragement,0.1209477037191391
b1,b11,-2.0,-2.0,4,1,frustration / despair,0.10116232186555862
b1,b11,-2.0,-2.0,4,2,uncertainty / indecision,0.161214679479599
b1,b11,-2.0,-2.0,4,3,romantic idealism,0.08689088374376297
b1,b11,-2.0,-2.0,4,4,academic ambition / competitive determination,0.15158692002296448
b1,b11,-2.0,-2.0,4,5,ironic amusement,0.03935404121875763
b1,b11,-2.0,-2.0,4,6,enthusiasm / curiosity,0.12902575731277466
b1,b11,-2.0,-2.0,5,0,self-doubt / encouragement,0.1897139549255371
b1,b11,-2.0,-2.0,5,1,frustration / despair,0.1363193243741989
b1,b11,-2.0,-2.0,5,2,uncertainty / indecision,0.1862068772315979
b1,b11,-2.0,-2.0,5,3,romantic idealism,0.008815495297312737
b1,b11,-2.0,-2.0,5,4,academic ambition / competitive determination,0.07829834520816803
b1,b11,-2.0,-2.0,5,5,ironic amusement,0.12351022660732269
b1,b11,-2.0,-2.0,5,6,enthusiasm / curiosity,0.22521796822547913
b1,b11,-2.0,-2.0,6,0,self-doubt / encouragement,0.21302445232868195
b1,b11,-2.0,-2.0,6,1,frustration / despair,0.0796954333782196
b1,b11,-2.0,-2.0,6,2,uncertainty / indecision,0.13873498141765594
b1,b11,-2.0,-2.0,6,3,romantic idealism,0.12718559801578522
b1,b11,-2.0,-2.0,6,4,academic ambition / competitive determination,0.13274046778678894
b1,b11,-2.0,-2.0,6,5,ironic amusement,0.16199886798858643
b1,b11,-2.0,-2.0,6,6,enthusiasm / curiosity,0.17113777995109558
b1,b11,-2.0,-2.0,7,0,self-doubt / encouragement,0.14668235182762146
b1,b11,-2.0,-2.0,7,1,frustration / despair,0.1400875598192215
